* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/PEQ/(scaffold).txt
* Format: Comma/Tab/Space delimited data
* Dated: Apr 3, 2022 4:13:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/PEQ/(scaffold).txt Format: Comma/Tab/Space delimited data 8 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: (scaffold)
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
10150.000000	101.475174	0
10300.000000	101.380119	0
10440.000000	101.292381	0
10600.000000	101.193329	0
10750.000000	101.101677	0
10900.000000	101.011192	0
11060.000000	100.915962	0
11200.000000	100.833710	0
11380.000000	100.729424	0
11500.000000	100.660782	0
11720.000000	100.536766	0
11800.000000	100.492233	0
12060.000000	100.349564	0
12200.000000	100.273994	0
12410.000000	100.162262	0
12500.000000	100.114944	0
12650.000000	100.036835	0
12800.000000	99.959656	0
13150.000000	99.783028	0
13200.000000	99.758179	0
13400.000000	99.659721	0
13600.000000	99.562714	0
13800.000000	99.467133	0
14000.000000	99.372948	0
14300.000000	99.234184	0
14500.000000	99.143288	0
14750.000000	99.031464	0
15000.000000	98.921600	0
15250.000000	98.813637	0
15500.000000	98.707581	0
15750.000000	98.603439	0
16000.000000	98.501251	0
16250.000000	98.401077	0
16500.000000	98.303062	0
16750.000000	98.207359	0
17000.000000	98.114235	0
17250.000000	98.024017	0
17500.000000	97.937157	0
17750.000000	97.854225	0
18000.000000	97.775848	0
18250.000000	97.702843	0
18500.000000	97.636101	0
18750.000000	97.576599	0
19000.000000	97.525330	0
19250.000000	97.483269	0
19500.000000	97.451233	0
19750.000000	97.429832	0
20000.000000	97.419403	0
