* Measurement data measured by REW V5.20 Beta 61
* Source: /Users/theolee/Desktop/Photos/FR Graphs/precogcurve4.txt
* Format: Comma/Tab/Space delimited data
* Dated: Mar 30, 2021 12:20:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/theolee/Desktop/Photos/FR Graphs/precogcurve4.txt Format: Comma/Tab/Space delimited data 61 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: precogcurve4
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
900.000000	75.982666	0.0000
912.000000	75.988808	0.0000
925.000000	76.001831	0.0000
938.000000	76.021355	0.0000
950.000000	76.045128	0.0000
962.000000	76.074417	0.0000
975.000000	76.112343	0.0000
988.000000	76.156693	0.0000
1000.000000	76.203636	0.0000
1015.000000	76.274712	0.0000
1030.000000	76.352539	0.0000
1044.000000	76.430420	0.0000
1060.000000	76.524971	0.0000
1075.000000	76.618446	0.0000
1090.000000	76.716080	0.0000
1106.000000	76.824249	0.0000
1120.000000	76.922104	0.0000
1138.000000	77.053535	0.0000
1150.000000	77.143234	0.0000
1172.000000	77.310791	0.0000
1180.000000	77.372444	0.0000
1206.000000	77.574432	0.0000
1220.000000	77.683655	0.0000
1241.000000	77.847298	0.0000
1250.000000	77.916626	0.0000
1265.000000	78.027817	0.0000
1280.000000	78.137848	0.0000
1315.000000	78.391968	0.0000
1320.000000	78.428001	0.0000
1340.000000	78.571426	0.0000
1360.000000	78.713844	0.0000
1380.000000	78.855331	0.0000
1400.000000	78.995697	0.0000
1430.000000	79.201111	0.0000
1450.000000	79.336868	0.0000
1475.000000	79.505760	0.0000
1500.000000	79.674088	0.0000
1525.000000	79.842194	0.0000
1550.000000	80.010323	0.0000
1575.000000	80.178787	0.0000
1600.000000	80.348030	0.0000
1625.000000	80.527435	0.0000
1650.000000	80.707954	0.0000
1675.000000	80.888672	0.0000
1700.000000	81.068970	0.0000
1725.000000	81.248283	0.0000
1750.000000	81.426132	0.0000
1775.000000	81.602005	0.0000
1800.000000	81.776108	0.0000
1825.000000	81.956261	0.0000
1850.000000	82.132530	0.0000
1875.000000	82.302925	0.0000
1900.000000	82.466171	0.0000
1925.000000	82.621124	0.0000
1950.000000	82.766739	0.0000
1975.000000	82.902008	0.0000
2000.000000	83.027206	0.0000
2030.000000	83.182907	0.0000
2060.000000	83.320747	0.0000
2090.000000	83.436478	0.0000
2120.000000	83.527321	0.0000
2140.000000	83.572739	0.0000
2180.000000	83.624268	0.0000
2200.000000	83.629082	0.0000
2240.000000	83.584152	0.0000
2270.000000	83.429443	0.0000
2300.000000	83.234947	0.0000
2330.000000	83.016998	0.0000
2360.000000	82.781494	0.0000
2400.000000	82.449516	0.0000
2430.000000	82.193497	0.0000
2470.000000	81.851509	0.0000
2500.000000	81.603775	0.0000
2540.000000	81.336060	0.0000
2580.000000	81.087029	0.0000
