
* Freq(Hz)	SPL(dB)	Phase(degrees)
2620.000000	113.772842	0
2650.000000	113.859795	0
2690.000000	113.968346	0
2720.000000	114.043533	0
2760.000000	114.134399	0
2800.000000	114.213242	0
2850.000000	114.292778	0
2900.000000	114.348915	0
2950.000000	114.379890	0
3000.000000	114.384949	0
3040.000000	114.370644	0
3070.000000	114.349762	0
3110.000000	114.309364	0
3150.000000	114.256035	0
3200.000000	114.173706	0
3250.000000	114.077003	0
3300.000000	113.969002	0
3350.000000	113.852325	0
3400.000000	113.729248	0
3450.000000	113.601639	0
3500.000000	113.470978	0
3550.000000	113.338425	0
3600.000000	113.204880	0
3650.000000	113.071007	0
3700.000000	112.937340	0
3750.000000	112.804260	0
3820.000000	112.619415	0
3870.000000	112.488701	0
3950.000000	112.282120	0
4000.000000	112.154739	0
4060.000000	112.003700	0
4120.000000	111.854652	0
4180.000000	111.707619	0
4250.000000	111.538589	0
4310.000000	111.395828	0
4370.000000	111.255013	0
4440.000000	111.093086	0
4500.000000	110.956299	0
4550.000000	110.843674	0
4620.000000	110.688057	0
4680.000000	110.556526	0
4750.000000	110.405174	0
4820.000000	110.256027	0
4870.000000	110.150833	0
4940.000000	110.005333	0
5000.000000	109.882248	0
5080.000000	109.720413	0
5150.000000	109.580887	0
5220.000000	109.443245	0
5300.000000	109.288162	0
5380.000000	109.135422	0
5450.000000	109.003601	0
5520.000000	108.873474	0
5600.000000	108.726761	0
5700.000000	108.546257	0
5800.000000	108.368858	0
5900.000000	108.194458	0
6000.000000	108.022919	0
6080.000000	107.887657	0
6150.000000	107.770676	0
6220.000000	107.654922	0
6300.000000	107.524078	0
6400.000000	107.362526	0
6500.000000	107.202995	0
6600.000000	107.045227	0
6700.000000	106.888893	0
6800.000000	106.733582	0
6900.000000	106.578796	0
7000.000000	106.423920	0
7100.000000	106.268219	0
7200.000000	106.110794	0
7300.000000	105.950615	0
7400.000000	105.786530	0
7500.000000	105.617210	0
7620.000000	105.405212	0
7750.000000	105.162109	0
7880.000000	104.902405	0
8000.000000	104.646179	0
8120.000000	104.373306	0
8250.000000	104.059021	0
8380.000000	103.726486	0
8500.000000	103.405006	0
8620.000000	103.071503	0
8750.000000	102.698944	0
8850.000000	102.405914	0
9000.000000	101.958405	0
9120.000000	101.595406	0
9250.000000	101.199005	0
9380.000000	100.800865	0
9500.000000	100.432999	0
9620.000000	100.065689	0
9750.000000	99.669334	0
9880.000000	99.275452	0
10000.000000	98.914742	0
10150.000000	98.468704	0
10300.000000	98.029251	0
10440.000000	97.626343	0
10600.000000	97.176498	0
10750.000000	96.767731	0
10900.000000	96.375130	0
11060.000000	95.979660	0
11200.000000	95.659492	0
11380.000000	95.294930	0
11500.000000	95.089798	0
11720.000000	94.816315	0
11800.000000	94.756607	0
12060.000000	94.739113	0
12200.000000	94.852905	0
12410.000000	95.189751	0
12500.000000	95.391785	0
12650.000000	95.795967	0
12800.000000	96.270851	0
13150.000000	97.553505	0
13200.000000	97.747391	0
13400.000000	98.528511	0
13600.000000	99.298248	0
13800.000000	100.036240	0
14000.000000	100.728325	0
14300.000000	101.660980	0
14500.000000	102.205032	0
14750.000000	102.794456	0
15000.000000	103.284966	0
15250.000000	103.683304	0
15500.000000	103.999878	0
15750.000000	104.247086	0
16000.000000	104.437378	0
16250.000000	104.582176	0
16500.000000	104.691307	0
16750.000000	104.772896	0
17000.000000	104.833504	0
17250.000000	104.878265	0
17500.000000	104.911179	0
17750.000000	104.935265	0
18000.000000	104.952835	0
18250.000000	104.965607	0
18500.000000	104.974838	0
18750.000000	104.981468	0
19000.000000	104.986183	0
19250.000000	104.989456	0
19500.000000	104.991638	0
19750.000000	104.992966	0
20000.000000	104.993576	0
