* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/hbb.txt
* Format: Comma/Tab/Space delimited data
* Dated: Nov 28, 2022 8:20:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/hbb.txt Format: Comma/Tab/Space delimited data 12 values loaded, 20 Hz to 20,000 Hz
* Measurement: hbb
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
140.000000	103.421616	0
143.000000	103.332222	0
145.000000	103.273140	0
147.500000	103.199867	0
150.000000	103.127235	0
152.500000	103.055252	0
155.000000	102.983910	0
157.500000	102.913216	0
160.000000	102.843170	0
162.500000	102.773781	0
165.000000	102.705040	0
167.500000	102.636955	0
170.000000	102.569519	0
172.500000	102.502747	0
175.000000	102.436630	0
177.500000	102.371170	0
180.000000	102.306374	0
182.500000	102.242233	0
185.000000	102.178764	0
187.500000	102.115959	0
190.000000	102.053825	0
192.500000	101.992355	0
195.000000	101.931557	0
197.500000	101.871429	0
200.000000	101.811974	0
203.000000	101.741516	0
206.000000	101.672035	0
209.000000	101.603531	0
212.000000	101.536003	0
214.000000	101.491531	0
218.000000	101.403900	0
220.000000	101.360741	0
224.000000	101.275742	0
227.000000	101.213150	0
230.000000	101.151558	0
233.000000	101.090958	0
236.000000	101.031357	0
240.000000	100.953445	0
243.000000	100.896194	0
247.000000	100.821419	0
250.000000	100.766518	0
254.000000	100.694893	0
258.000000	100.625084	0
262.000000	100.557091	0
265.000000	100.507286	0
269.000000	100.442490	0
272.000000	100.395088	0
276.000000	100.333504	0
280.000000	100.273796	0
285.000000	100.201912	0
290.000000	100.133621	0
295.000000	100.070488	0
300.000000	100.015259	0
304.000000	99.977951	0
307.000000	99.953545	0
311.000000	99.924553	0
315.000000	99.898460	0
320.000000	99.868874	0
325.000000	99.842133	0
330.000000	99.818001	0
335.000000	99.796379	0
340.000000	99.777184	0
345.000000	99.760330	0
350.000000	99.745758	0
355.000000	99.733383	0
360.000000	99.723137	0
365.000000	99.714951	0
370.000000	99.708733	0
375.000000	99.704430	0
382.000000	99.701462	0
387.000000	99.701439	0
395.000000	99.704803	0
400.000000	99.708923	0
406.000000	99.715797	0
412.000000	99.724648	0
418.000000	99.735359	0
425.000000	99.750023	0
431.000000	99.764305	0
437.000000	99.780037	0
444.000000	99.800056	0
450.000000	99.818497	0
455.000000	99.834663	0
462.000000	99.858353	0
468.000000	99.879463	0
