* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Apr 13, 2023 7:36:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Listener 5128 to 711
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
829.977295 57.320
835.991699 57.309
842.049622 57.299
848.151428 57.288
854.297485 57.278
860.488098 57.269
866.723572 57.260
873.004211 57.252
879.330322 57.245
885.702332 57.238
892.120483 57.233
898.585144 57.229
905.096680 57.227
911.655396 57.225
918.261597 57.227
924.915710 57.228
931.618042 57.234
938.368896 57.239
945.168762 57.247
952.017822 57.256
958.916504 57.269
965.865234 57.283
972.864319 57.298
979.914062 57.317
987.014954 57.338
994.167236 57.362
1001.371399 57.387
1008.627747 57.416
1015.936646 57.446
1023.298584 57.480
1030.713867 57.515
1038.182739 57.555
1045.705933 57.595
1053.283447 57.638
1060.916016 57.683
1068.603882 57.731
1076.347412 57.780
1084.147095 57.832
1092.003296 57.885
1099.916382 57.941
1107.886841 57.997
1115.915039 58.056
1124.001343 58.116
1132.146362 58.177
1140.350342 58.239
1148.613770 58.302
1156.937134 58.366
1165.320801 58.431
1173.765137 58.496
1182.270752 58.561
1190.838013 58.627
1199.467285 58.693
1208.159180 58.758
1216.913940 58.824
1225.732178 58.889
1234.614380 58.954
1243.560913 59.018
1252.572266 59.082
1261.648926 59.146
1270.791382 59.208
1280.000000 59.271
1289.275391 59.332
1298.618042 59.392
1308.028320 59.453
1317.506836 59.514
1327.054077 59.573
1336.670410 59.633
1346.356567 59.691
1356.112793 59.749
1365.939697 59.807
1375.837891 59.864
1385.807739 59.920
1395.849854 59.976
1405.964844 60.032
1416.152954 60.088
1426.415039 60.144
1436.751465 60.200
1447.162720 60.256
1457.649414 60.312
1468.212158 60.368
1478.851440 60.424
1489.567871 60.480
1500.361816 60.537
1511.234131 60.594
1522.185059 60.652
1533.215454 60.710
1544.325806 60.768
1555.516602 60.828
1566.788574 60.888
1578.142090 60.949
1589.578003 61.011
1601.096680 61.073
1612.698975 61.137
1624.385254 61.202
1636.156250 61.268
1648.012451 61.335
1659.954590 61.404
1671.983398 61.473
1684.099243 61.543
1696.302856 61.614
1708.594971 61.687
1720.976196 61.761
1733.447144 61.836
1746.008423 61.912
1758.660645 61.990
1771.404663 62.069
1784.240967 62.149
1797.170288 62.231
1810.193359 62.315
1823.310791 62.399
1836.523193 62.485
1849.831421 62.572
1863.236084 62.662
1876.737793 62.753
1890.337524 62.845
1904.035645 62.938
1917.833008 63.033
1931.730469 63.130
1945.728638 63.228
1959.828125 63.328
1974.029907 63.429
1988.334473 63.532
2002.742798 63.636
2017.255493 63.742
2031.873291 63.848
2046.597168 63.956
2061.427734 64.065
2076.365479 64.176
2091.411865 64.288
2106.566895 64.401
2121.832031 64.515
2137.207764 64.630
2152.694824 64.747
2168.294189 64.864
2184.006592 64.981
2199.832764 65.100
2215.773682 65.221
2231.830078 65.341
2248.002686 65.462
2264.292725 65.584
2280.700684 65.706
2297.227539 65.829
2313.874268 65.952
2330.641602 66.076
2347.530273 66.199
2364.541504 66.322
2381.676025 66.445
2398.934570 66.567
2416.318359 66.689
2433.827881 66.810
2451.464355 66.929
2469.228760 67.049
2487.121826 67.166
2505.144531 67.282
2523.297852 67.396
2541.582764 67.509
2560.000000 67.619
2578.550781 67.729
2597.236084 67.833
2616.056641 67.937
2635.013672 68.036
2654.108154 68.134
2673.340820 68.227
2692.713135 68.318
2712.225586 68.404
2731.879395 68.484
2751.675781 68.562
2771.615479 68.634
2791.699707 68.703
2811.929688 68.764
2832.305908 68.820
2852.830078 68.874
2873.502930 68.916
2894.325439 68.957
2915.298828 68.986
2936.424316 69.011
2957.702881 69.029
2979.135742 69.037
3000.723633 69.045
3022.468262 69.038
3044.370117 69.030
3066.430908 69.013
3088.651611 68.987
3111.033203 68.960
3133.577148 68.923
3156.284180 68.884
3179.156006 68.839
3202.193359 68.793
3225.397949 68.740
3248.770508 68.687
3272.312500 68.627
3296.024902 68.567
3319.909180 68.503
3343.966797 68.437
3368.198486 68.369
3392.605713 68.299
3417.189941 68.227
3441.952393 68.153
3466.894287 68.078
3492.016846 68.001
3517.321289 67.924
3542.809326 67.846
3568.481934 67.766
3594.340576 67.685
3620.386719 67.604
3646.621582 67.523
3673.046387 67.441
3699.662842 67.358
3726.472168 67.276
3753.475586 67.194
3780.675049 67.112
3808.071289 67.030
3835.666016 66.948
3863.460938 66.867
3891.457275 66.787
3919.656250 66.708
3948.059814 66.629
3976.668945 66.553
4005.485596 66.477
4034.510986 66.403
4063.746582 66.330
4093.194336 66.260
4122.855469 66.190
4152.730957 66.124
4182.823730 66.059
4213.133789 65.997
4243.664062 65.936
4274.415527 65.878
4305.389648 65.822
4336.588379 65.769
4368.013184 65.718
4399.665527 65.670
4431.547363 65.623
4463.660156 65.579
4496.005371 65.537
4528.585449 65.497
4561.401367 65.458
4594.455078 65.421
4627.748535 65.385
4661.283203 65.350
4695.060547 65.315
4729.083008 65.282
4763.352051 65.249
4797.869141 65.215
4832.636719 65.181
4867.655762 65.147
4902.928711 65.111
4938.457520 65.074
4974.243652 65.034
5010.289062 64.993
5046.595703 64.948
5083.165527 64.903
5120.000000 64.852
5157.101562 64.800
5194.472168 64.743
5232.113281 64.683
5270.027344 64.617
5308.216309 64.550
5346.681641 64.475
5385.426270 64.399
5424.451172 64.315
5463.758789 64.228
5503.351562 64.134
5543.230957 64.036
5583.399414 63.934
5623.859375 63.827
5664.611816 63.716
5705.660156 63.604
5747.005859 63.486
5788.650879 63.368
5830.597656 63.247
5872.848633 63.125
5915.405762 63.004
5958.271484 62.883
6001.447266 62.763
6044.936523 62.647
6088.740234 62.533
6132.861816 62.424
6177.303223 62.322
6222.066406 62.224
6267.154297 62.137
6312.568359 62.055
6358.312012 61.984
6404.386719 61.916
6450.795898 61.865
6497.541016 61.814
6544.625000 61.784
6592.049805 61.755
6639.818359 61.747
6687.933594 61.743
6736.396973 61.760
6785.211426 61.785
6834.379883 61.832
6883.904785 61.889
6933.788574 61.970
6984.033691 62.062
7034.642578 62.178
7085.618652 62.305
7136.963867 62.455
7188.681152 62.615
7240.773438 62.795
7293.243164 62.981
7346.092773 63.184
7399.325684 63.389
7452.944336 63.605
7506.951172 63.820
7561.350098 64.034
7616.142578 64.248
7671.332031 64.442
7726.921875 64.634
7782.914551 64.800
7839.312500 64.947
7896.119629 65.074
7953.337891 65.151
8010.971191 65.212
8069.021973 65.205
8127.493164 65.186
8186.388672 65.086
8245.710938 64.986
8305.461914 64.806
8365.647461 64.619
8426.267578 64.383
8487.328125 64.131
8548.831055 63.843
8610.779297 63.545
8673.176758 63.220
8736.026367 62.891
8799.331055 62.547
8863.094727 62.197
8927.320312 61.839
8992.010742 61.481
9057.170898 61.120
9122.802734 60.759
9188.910156 60.402
9255.497070 60.046
9322.566406 59.700
9390.121094 59.357
9458.166016 59.029
9526.704102 58.709
9595.738281 58.401
9665.273438 58.110
9735.311523 57.827
9805.857422 57.564
9876.915039 57.306
9948.487305 57.072
10020.578125 56.844
10093.191406 56.632
10166.331055 56.424
10240.000000 56.230
10314.203125 56.039
10388.944336 55.857
10464.226562 55.678
10540.054688 55.504
10616.432617 55.330
10693.363281 55.160
10770.852539 54.991
10848.902344 54.825
10927.517578 54.659
11006.703125 54.497
11086.461914 54.337
11166.798828 54.181
11247.718750 54.033
11329.223633 53.890
11411.320312 53.753
11494.011719 53.626
11577.301758 53.521
11661.195312 53.418
11745.697266 53.321
11830.811523 53.251
11916.542969 53.197
12002.894531 53.143
12089.873047 53.099
12177.480469 53.074
12265.723633 53.068
12354.606445 53.070
12444.132812 53.077
12534.308594 53.100
12625.136719 53.130
12716.624023 53.168
12808.773438 53.210
12901.591797 53.259
12995.082031 53.309
13089.250000 53.358
13184.099609 53.408
13279.636719 53.458
13375.867188 53.508
13472.793945 53.554
13570.422852 53.600
13668.759766 53.642
13767.809570 53.682
13867.577148 53.718
13968.067383 53.751
14069.285156 53.779
14171.237305 53.805
14273.927734 53.830
14377.362305 53.853
14481.546875 53.874
14586.486328 53.894
14692.185547 53.914
14798.651367 53.936
14905.888672 53.960
15013.902344 53.985
15122.700195 54.016
15232.285156 54.047
15342.664062 54.088
15453.843750 54.131
15565.829102 54.180
15678.625000 54.234
15792.239258 54.291
15906.675781 54.354
16021.942383 54.418
16138.043945 54.487
16254.986328 54.556
16372.777344 54.627
16491.421875 54.697
16610.923828 54.764
16731.294922 54.832
16852.535156 54.892
16974.656250 54.951
17097.662109 55.001
17221.558594 55.048
17346.353516 55.084
17472.052734 55.117
17598.662109 55.137
17726.189453 55.153
17854.640625 55.153
17984.021484 55.150
18114.341797 55.130
18245.605469 55.107
18377.820312 55.065
18510.994141 55.021
18645.132812 54.959
18780.242188 54.891
18916.332031 54.805
19053.408203 54.703
19191.476562 54.578
19330.546875 54.413
19470.623047 54.218
19611.714844 53.974
19753.830078 53.721
19896.974609 53.572
